Cu,Ni,Al,r,del_r,del_EN,S,VEC
0.95,0.05,0.0,1.35,0.0,0.002179449471770339,1.6504557331775846,10.95
0.95,0.0,0.05,1.345,0.021794494717703387,0.06320403468133973,1.6504557331775846,10.6
0.0,0.95,0.05,1.345,0.021794494717703387,0.06538348415311006,1.6504557331775846,9.65
0.05,0.95,0.0,1.35,0.0,0.0021794494717703385,1.6504557331775846,10.05
0.05,0.0,0.95,1.255,0.021794494717703387,0.06320403468133973,1.6504557331775846,3.3999999999999995
0.0,0.05,0.95,1.255,0.021794494717703387,0.06538348415311006,1.6504557331775846,3.3499999999999996
0.33,0.33,0.33,1.3035,0.04869935831199425,0.13958918439478032,9.12524684966995,7.920000000000001
0.95,0.025,0.025,1.3475,0.01561249499599601,0.04534313619501851,1.9385970161363542,10.774999999999999
0.475,0.5,0.025,1.3475000000000001,0.01561249499599601,0.046340452091018676,6.5880535257641775,10.299999999999999
0.5,0.5,0.0,1.35,0.0,0.0050000000000000044,5.762825659175385,10.5
0.5,0.025,0.475,1.3025,0.04993746088859549,0.14506464076404,6.5880535257641775,7.175
0.475,0.05,0.475,1.3025,0.04993746088859549,0.14530979836198235,7.125140109394201,7.1499999999999995
0.64,0.19,0.165,1.32675,0.037690976207840544,0.1088989163743147,7.4698071884785335,9.434999999999999
0.475,0.475,0.05,1.345,0.021794494717703387,0.06447819398835543,7.1251401093942,10.125
0.5,0.475,0.025,1.3475000000000001,0.01561249499599601,0.046300647943630306,6.5880535257641775,10.325
0.5,0.0,0.5,1.3,0.050000000000000044,0.1449999999999999,5.762825659175385,7.0
0.475,0.025,0.5,1.3,0.05000000000000004,0.14525817532930796,6.5880535257641775,6.975
0.64,0.165,0.19,1.3242500000000001,0.03976489893737945,0.11493056159046637,7.469807188478534,9.26
0.0,0.5,0.5,1.3,0.050000000000000044,0.1499999999999999,5.762825659175385,6.5
0.165,0.64,0.19,1.3242500000000001,0.03976489893737945,0.11723746756050296,7.469807188478534,8.785
0.05,0.475,0.475,1.3025,0.04993746088859549,0.1493519333654572,7.125140109394201,6.725
0.19,0.64,0.165,1.32675,0.037690976207840544,0.11090386822604513,7.4698071884785335,8.985
0.025,0.025,0.95,1.255,0.021794494717703387,0.06430347968811638,1.938597016136354,3.3749999999999996
0.19,0.165,0.64,1.2792500000000002,0.048213428497670664,0.14108874153347595,7.469807188478533,5.66
0.165,0.19,0.64,1.2792500000000002,0.048213428497670664,0.1414246400030772,7.469807188478533,5.635
1.0,0.0,0.0,1.35,0.0,0.0,-0.0,11.0
0.0,1.0,0.0,1.35,0.0,0.0,-0.0,10.0
0.0,0.0,1.0,1.25,0.0,0.0,-0.0,3.0
