mr_avg,del_mr,ve_avg,d_avg,ie2_avg,del_ie2,del_vs,del_vd,S
115.5,2.179449471770337,9.65,8.59,18.2018236,0.14378089699205504,0.0,1.7435595774162693,1.6504557331775846
118.14000000000001,4.334720752251518,7.920000000000001,6.784800000000001,18.905626740000002,0.9031780375282947,0.4693346354148605,4.299251562772293,9.12524684966995
121.25,3.59687364248454,7.175,5.985,19.5439772,0.75528682788313,0.5,4.955804677345547,6.5880535257641775
121.425,3.604771143914687,6.975,5.8285,19.507381199999998,0.7535992198378132,0.4993746088859545,4.959586676326969,6.5880535257641775
119.9,4.8928519290900265,6.725,5.958,18.5883788,0.5061508029915193,0.21794494717703367,4.112177038990417,7.125140109394201
124.575,1.882651056356435,3.3749999999999996,3.0115,18.8486532,0.2530751826303007,0.15612494995995996,1.9742087022399635,1.938597016136354
115.15,0.653834841531101,10.05,8.903,18.2750156,0.46281742846768426,0.21794494717703367,0.43588989435406733,1.6504557331775846
116.925,2.359952330027028,10.125,8.6185,19.210510799999998,1.0385944804502671,0.4993746088859544,2.190319611380951,7.1251401093942
116.75,1.984313483298443,10.325,8.775,19.247106800000005,1.0502159022658912,0.5,1.7204650534085253,6.5880535257641775
124.5,2.179449471770337,3.3499999999999996,3.01,18.7955644,0.14378089699205504,0.0,1.7435595774162693,1.6504557331775846
121.39500000000001,4.153943292222462,5.66,4.898900000000001,18.90368437,0.6775901483227541,0.3921734310225516,4.374900913163634,7.469807188478533
121.5,3.5,7.0,5.83,19.560470000000002,0.7319200000000005,0.5,5.0,5.762825659175385
117.85,0.653834841531101,10.95,8.957,20.1862124,0.46281742846768426,0.21794494717703367,0.43588989435406733,1.6504557331775846
118.1,1.2,10.774999999999999,8.802000000000001,20.2027052,0.39782427365177214,0.21794494717703367,1.584297951775486,1.9385970161363542
117.995,3.130634899664922,9.434999999999999,7.870900000000001,19.545919570000002,0.8954545945548162,0.4778990479170261,3.6221496379912304,7.4698071884785335
118.245,3.2319614593927315,9.26,7.715900000000001,19.56241237,0.8739556769142235,0.4778990479170261,3.829309076060589,7.469807188478534
116.64500000000001,3.687640827819324,8.985,7.8439000000000005,18.590321170000003,0.8206681901954893,0.3921734310225516,3.230046129701556,7.4698071884785335
116.5,1.5,10.5,8.93,19.230614000000003,1.061776,0.5,1.0,5.762825659175385
118.0,0.0,11.0,8.96,20.29239,0.0,0.0,0.0,-0.0
115.0,0.0,10.0,8.9,18.168838,0.0,0.0,0.0,-0.0
125.0,0.0,3.0,2.7,18.82855,0.0,0.0,0.0,-0.0
