e2
56.649986
52.321907
63.952076
62.303177
53.494713
76.665421
56.370949
54.656647
54.704269
96.352539
49.449562
77.987099
37.692028
30.213026
51.679569
50.837952
55.28252
55.827915
10.472126
53.17683
56.837337
