Cu,Ni,Al,std
0.08,0.26,0.66,10.646064449824262
0.08,0.28,0.64,9.595872585806294
0.08,0.3,0.62,8.61467180029751
0.08,0.32,0.6,7.711777928619699
0.08,0.34,0.58,6.897859014728787
0.08,0.36,0.56,6.1910929671451
0.08,0.38,0.54,5.62305163799221
0.08,0.4,0.52,5.240577360323937
0.08,0.42,0.5,5.096623739467477
0.08,0.44,0.48,5.226756503147498
0.08,0.46,0.46,5.626352755558549
0.08,0.48,0.44,6.2514880615938715
0.08,0.5,0.42,7.039544228251967
0.08,0.52,0.4,7.927178341541581
0.08,0.54,0.38,8.857130973182231
0.08,0.56,0.36,9.778504642405602
0.08,0.58,0.34,10.645741149667469
0.08,0.6,0.32,11.418735341964508
0.08,0.62,0.3,12.064928836012841
0.08,0.64,0.28,12.5636827967288
0.08,0.66,0.26,12.912914278131531
0.08,0.68,0.24,13.137246896031654
0.08,0.7,0.22,13.295106130839804
0.08,0.72,0.2,13.478848159858112
0.08,0.74,0.18,13.798789557059791
0.08,0.76,0.16,14.345476305923727
0.08,0.78,0.14,15.141333788000217
0.08,0.8,0.12,16.11051931737745
0.08,0.82,0.1,17.085884347935252
0.08,0.84,0.08,17.8370172000416
0.08,0.86,0.06,18.072413190099613
0.08,0.88,0.04,17.333917719517025
0.08,0.9,0.02,14.618761968395145
0.08,0.92,0.0,7.9598430008274645
0.1,0.0,0.9,14.78396514632278
0.1,0.02,0.88,16.59974530369201
0.1,0.04,0.86,17.708253568432443
0.1,0.06,0.84,18.128135087659395
0.1,0.08,0.82,17.99379511683861
0.1,0.1,0.8,17.429604937025843
0.1,0.12,0.78,16.536233574793112
0.1,0.14,0.76,15.401107148578106
0.1,0.16,0.74,14.106835837197568
0.1,0.18,0.72,12.73414470049569
0.1,0.2,0.7,11.361223171278077
0.1,0.22,0.68,10.061557677570452
0.1,0.24,0.66,8.901108809849763
0.1,0.26,0.64,7.934440519199577
0.1,0.28,0.62,7.198975753209373
0.1,0.3,0.6,6.708190974422164
0.1,0.32,0.58,6.448200208395957
0.1,0.34,0.56,6.383159040299727
0.1,0.36,0.54,6.468683164553428
0.1,0.38,0.52,6.665384919165712
0.1,0.4,0.5,6.94587412277535
