t,depo,r,del_r,del_EN,S,H,VEC,Th,resistivity
688.093665888177,0.229364555296059,1.4018378673364391,0.0675199124599406,0.1575194962490806,6.984707857788565,-9.43810690870764,4.881538627679526,0.3916068686280143,273.2115534604162
595.418474101948,0.1984728247006493,1.2843293100042372,0.0541590841329304,0.0915364826802324,6.6749067334186645,-11.826898337935775,7.983485364305471,0.4810153535111992,84.74212455743499
522.323893366522,0.1741079644555073,1.3333236411805924,0.0780633428056817,0.2237095743800862,9.086015548763038,-24.57780302115463,7.072062672683225,0.4210347895130865,169.5119459816338
468.356587522633,0.2601981041792405,1.5518274176496043,0.0484081696209798,0.1400090598744093,8.127772636124867,-6.979034078031059,2.60645569643593,0.2599596009094838,107.62966457827788
592.487956159398,0.296243978079699,1.2477975783857946,0.004095133658018,0.0255494893049894,7.227085827710285,-0.4839087328157823,9.525313968282411,0.1676944365712216,25.512353645836832
180.978861353362,0.1005438118629788,1.5622435818645162,0.0370901677163495,0.0345117798203495,9.055444006319744,9.390618929456531,3.283315739712242,0.1780418390836673,137.6471432536077
867.850253130317,0.2892834177101057,1.3198416512453166,0.0632232747300384,0.1076152979107982,8.624415845761392,-16.57275809103397,6.246617467326352,0.5033013602019432,151.83765701326516
141.077061222427,0.0587821088426779,1.4724172501386683,0.017714281512627,0.0173221739660412,1.4318424265873504,2.5371506801726698,3.9172938910126938,0.4070772265290855,15.602479659801253
259.824890121684,0.1855892072297743,1.4179511856006244,0.0883003485245877,0.2063364283770153,9.030700605407183,-26.62182878978913,6.141057387154609,0.2095363702210644,93.8138298467199
502.933776028331,0.1676445920094436,1.3639960256862262,0.0663527408782018,0.1115104472385019,8.835345949845888,-17.272269598203792,4.626602312673872,0.4401777892289954,213.14237870663223
540.26911645297,0.1800897054843233,1.311866921408526,0.0729148804056704,0.2054252384375158,9.00107682087748,-20.68327198606051,7.52068733978769,0.4244895849528955,172.64207770504862
425.461833332337,0.141820611110779,1.3667019123533812,0.0645545735728572,0.1038802432282605,8.78128093134356,-17.68433091034263,4.506231882727833,0.4596627912882775,230.6424173691532
230.365801499192,0.28795725187399,1.3746603115939429,0.0433188690791684,0.106718371844647,8.94458224448745,0.5215876932424016,8.091296733481151,0.3084043157659616,20.25662701837961
492.759724356849,0.164253241452283,1.2689602402116142,0.0527694998781724,0.1489607491825697,7.287746033818829,-12.097663675584704,9.118932599875588,0.1664319600733628,83.75560224824451
488.574599113436,0.2571445258491768,1.5126045291326184,0.0798313935116172,0.2017268706824897,7.49849293143041,-32.60214308225487,4.863146100557925,0.1665014586330748,208.82859739488916
496.656209460986,0.2159374823743417,1.408205676387366,0.0784885741933295,0.1620970858003836,8.117030454893408,-4.385186632264771,4.253022128161451,0.2484062443598865,319.4516578751116
104.987531595759,0.0874896096631324,1.4133365992927696,0.0205590584903254,0.0599586202456998,5.126598192161579,-5.956272897603876,5.693069852495719,0.0820568937688294,30.836148274068734
406.12234201014,0.13537411400338,1.2900957221695462,0.0683227363345144,0.195635858179653,8.143408284097818,-21.016230888869337,8.575983783734872,0.1646578430350025,150.0243953827056
430.208546913446,0.1434028489711486,1.3912095327553395,0.0577382643492323,0.1050442711300543,8.714678641484495,-20.71172704103476,4.094120917442398,0.5072368669206414,225.8057454778787
594.935237943465,0.1652597883176292,1.3143451562585404,0.0582104720933533,0.1882673636572161,4.169090026754466,-5.776394784353935,9.594680137121555,0.5240524947819293,29.66263805452805
468.788323194615,0.2232325348545785,1.4231169048507435,0.0680115078750136,0.1184183325636231,7.321844594280328,-3.0667140983306744,3.431864654685961,0.2496425147712837,241.77438992702497
570.825306480473,0.1902751021601577,1.4320375442572786,0.0254654104863756,0.0370622015683847,9.017153737129876,-4.134745516727569,5.124209591915239,0.1127901429726166,114.1009347811646
453.505073239584,0.151168357746528,1.281893694250943,0.0636481874474271,0.1814398122608455,7.62661454345077,-18.09258020799926,8.812735243983909,0.4364706678283609,144.30010806659485
523.926059579772,0.1746420198599239,1.2866910747744311,0.0558162757342462,0.0954166792070244,7.458225412635868,-12.654129528514892,7.940638107267843,0.1838734887251217,92.14019359686948
606.911615728567,0.3034558078642835,1.4930338068119515,0.0547007011673796,0.1454236307891146,7.226808437317095,-31.761850632916957,3.2055304693148985,0.2285280639018047,169.1795867512551
680.379500890059,0.226793166963353,1.4601854404622057,0.0034656092880853,0.0280060259890078,9.100200970089094,1.416860159152565,4.64599594816197,0.2949295951540376,58.59387438895136
455.4502202218273,0.1265139500616187,1.2579439877631788,0.0082388076259784,0.1052804805422903,8.45268962590419,-5.481205185708088,7.706321848234696,0.4447031124359877,131.2941652960861
656.382169265056,0.2187940564216853,1.323386575065588,0.0879974384902565,0.1688791704038468,6.736928487973143,-26.130444776360804,7.275747349449494,0.1789042844742463,166.30908616096332
616.063017829478,0.1711286160637438,1.3264889733237195,0.0634965061384559,0.2072611788560447,4.8017326178601225,-7.000720078717547,9.1496187787119,0.5112060865524991,76.23162550495927
584.028747533753,0.1946762491779176,1.4239536036856972,0.0267404600444353,0.039310680903613,8.65069606039346,-4.449850261130886,5.235079948140143,0.1122587827297389,101.91599499125232
240.820351247296,0.1337890840262755,1.562961078407119,0.0368735487662257,0.0352086269739253,8.980421735546027,10.30030450899654,3.159896839285708,0.1863547682868828,167.2242840465273
520.010313087066,0.173336771029022,1.282340878870034,0.0537766275250806,0.0926347958220992,7.802633581311681,-11.70523119030682,8.12609490809273,0.1821572564376415,88.1517530666815
515.478104128174,0.1718260347093913,1.3448868746382152,0.0777859697413357,0.2076045166547793,8.992737558337499,-22.38879925020193,6.279412390280516,0.3958260141157319,218.8563324784572
515.0453432045301,0.1430681508901472,1.2588322061425332,0.0051904441651067,0.0651807648962443,6.769358994608616,-1.8546299941742288,7.977577265895131,0.1578565835683389,124.88075874860984
488.586986315113,0.2442934931575565,1.512956066172373,0.0555887025573456,0.1494773635264166,7.872375426577615,-34.37831590710433,3.293670551050598,0.2084416356355827,230.31521491387565
457.578406595142,0.1989471333022356,1.39187784171206,0.0813582785147349,0.1619585701452252,8.210123072320052,-4.908737921445377,4.654753825490873,0.235047126722669,277.50446471459094
350.897413253996,0.1846828490810505,1.3178743368581964,0.1079352005191126,0.2341205762091319,7.5022777164786385,-1.7040555847253276,8.20549375066437,0.1866697697071,63.30100908953948
854.4960627219,0.356040026134125,1.290729477276756,0.0521217379656381,0.1163733243003828,1.5446317091338964,-0.523814765896634,10.588306535742854,0.4162760075342039,13.94311987401582
406.78805807739,0.203394029038695,1.250262253980012,0.0051373751015693,0.0321108614610636,8.872834738442705,-1.161056907858133,9.202371035158713,0.16643584811745,35.21672424399414
352.405836838648,0.1854767562308673,1.3728710763983674,0.1230020916759134,0.2767475707060395,8.589401309718223,-1.8777154112065428,6.940738149515608,0.2027125794615772,109.25632521015216
546.142718481821,0.2730713592409105,1.2469157839612592,0.0038318529376078,0.0238897836863366,6.350220684888284,-0.4120782862687451,9.63828614495258,0.4435664432298266,8.416518051688389
396.166371236989,0.1320554570789963,1.3326942281471006,0.0714173303477491,0.1715144923134078,7.978508123085692,-26.815362448752047,6.626902625172852,0.4908825619109915,213.14528050970372
462.893700007061,0.2571631666705894,1.5322678144018336,0.0536687087896978,0.1529527151073738,8.399957090324527,-10.101902383055307,2.691039946328017,0.2640993216358103,122.94936230060748
643.692191362966,0.2145640637876553,1.294732403408793,0.0549327587771448,0.0847910194424588,8.568613996226388,-9.986248882984055,7.176751365382683,0.4810534440338094,54.267345614235104
590.0702051619814,0.2157477898215654,1.3074497617320786,0.0702823586133326,0.1946290832017581,7.595699254568538,-19.438917058263776,7.354215723345646,0.4141753890743862,88.8555724316254
454.533954181836,0.151511318060612,1.271087633301132,0.0539938464376278,0.15211149059577,7.809218999378115,-12.54406051068517,9.000788677849036,0.4379472363133527,109.6037359585482
184.728588121931,0.1026269934010727,1.2902224690985595,0.0511958399219133,0.1090611594565783,1.5081398749772958,-3.895617508669327,10.689852698785296,0.2104709357885958,3.935313753050884
1256.67676760622,0.523615319835925,1.3028522093824264,0.0683305044620943,0.1539958808372889,2.385922855747149,-0.917252838133982,10.24947240856572,0.421060194358518,14.80963410381508
506.040911156867,0.1405669197657963,1.3691192990007364,0.0703186006690869,0.1643704925121699,8.77035005353243,-20.662194526146084,5.107826329172522,0.4991834155867718,200.23835426030945
533.954202253702,0.1483206117371394,1.2573257731698495,0.0073202282931722,0.091167185183029,9.065211583923167,-3.994764474321322,7.9913570387897295,0.4598277754041856,125.36640232759972
455.5197866914236,0.126533274080951,1.259337952552385,0.0060426600794463,0.0828520766065643,8.309989589302758,-2.789350470579966,7.738108376030344,0.1535767673473604,140.03459463704263
908.264654999071,0.2522957374997419,1.3546979488030193,0.0693957825699561,0.2313343058767382,5.633477359332948,-8.721413303381627,8.115781981041184,0.4836648431601711,46.9315242778362
480.773327963087,0.2289396799824224,1.4258357806893154,0.0751302930512024,0.1319819945944631,8.071221667297657,-1.888573937380344,3.476905630884158,0.2419975116942635,243.3759202254868
404.877676699794,0.2130935140525231,1.347581772680235,0.1177128311910028,0.2588634998519042,8.929291401880308,-1.072855069312144,7.438492662214871,0.1941858693298221,98.36396267714848
560.929355909408,0.1558137099748355,1.2584370447980784,0.0077896943154373,0.1009025519030727,8.841994810402388,-4.83839888100116,7.681564321425018,0.1498847154099797,126.61492625003012
575.583987265316,0.2877919936326579,1.247894845855,0.0042515362528729,0.0265273508846292,7.3712399934514,-0.574950902518639,9.513144268125076,0.4422806051773097,9.91378952657933
724.887926053728,0.241629308684576,1.3256434804246058,0.0719981717019811,0.2121542360724257,7.544168953591044,-20.350562202928074,7.301292626108276,0.3965144866097139,150.8102799256688
569.033460444467,0.2994912949707721,1.2952098915552166,0.0468008903230222,0.0910915484379956,7.398299963313927,-1.1887089598452747,9.496459959478823,0.2159746346255679,35.077134454224044
212.712150800596,0.265890188500745,1.353617375667094,0.0506198467282116,0.1220862275710479,8.874946232227618,0.0991458713751645,8.377892064528622,0.2771307672954421,26.61023901423837
591.1416891418,0.3284120495232222,1.3392985382580749,0.0634118422509228,0.1260250536193829,8.810469557083445,-10.054025172720085,6.997276447611256,0.2334576812402283,86.00902312855236
430.34384658165,0.1434479488605499,1.3848683323471591,0.0604889819729903,0.144519365861632,8.512019527801442,-22.30179585379392,4.712548808809936,0.5548535448281113,301.5591298398716
556.013170243163,0.3088962056906461,1.3117636212510893,0.0769959032233813,0.1667608260495781,2.905408005961604,-9.108023943167902,10.220107947795558,0.2029383638609164,42.087094433917486
408.415261907476,0.204207630953738,1.2499411881306193,0.0051080607544228,0.031920185680752,8.751843817560394,-1.1251138323249916,9.243892430752624,0.4395168835140637,11.107098096730954
574.58472568902,0.19152824189634,1.390450387219183,0.0942310377748722,0.1938883259647969,8.788411339353656,-39.59219332165927,5.676495933572224,0.1926639358107035,246.89358658198336
415.82900692149,0.207914503460745,1.2502815109184564,0.0050985432460111,0.0318693113614033,8.8773718646998,-1.1384082249089296,9.201243975829486,0.439083254980902,11.12024068495684
588.566130505015,0.1961887101683383,1.288974634888184,0.0518024155552705,0.0798757869427157,8.361367384218987,-8.913986702719537,7.359975899465758,0.4723485954621468,59.4904870017328
466.033092762727,0.1553443642542423,1.3890730558711226,0.0563011217959588,0.1242398591503535,7.550619372927349,-18.334969857364825,4.441265264678588,0.6001710456944194,389.7270245092941
503.499967596926,0.1678333225323086,1.3259194489413797,0.0678235580951408,0.1375805378816579,6.983860732490705,-21.929491842343005,6.6221708140654725,0.5199752554453204,155.41536520814122
544.265303781763,0.1814217679272543,1.341492258894303,0.0739246857102964,0.1810726635977987,9.063148552466757,-12.189646433050456,5.909147303345754,0.3936483398332973,205.4958450962376
276.065711754406,0.2300547597953383,1.3978526265010367,0.01079903127869,0.031149350011998,1.913282406992152,-1.607567820873311,5.938847198396254,0.0798314414347549,21.897670289215363
680.418634730887,0.2487819505414577,1.2927456380271245,0.0612526047707269,0.1699040486311491,8.191400253266195,-14.302144705001147,7.315274204357323,0.4043190342658191,89.5633436656151
259.824890121684,0.1855892072297743,1.4179511856006244,0.0883003485245877,0.2063364283770153,9.030700605407183,-26.62182878978913,6.141057387154609,0.2095363702210644,68.4746672624928
410.45180904206,0.1368172696806866,1.3499917473857663,0.0660093604052281,0.100458931524287,8.354376898316875,-15.08592179353193,4.773353948305296,0.43476161785006,231.6215267731732
630.028479993013,0.2100094933310043,1.459562821881632,0.0032266504930068,0.0294832026797757,8.959686536516475,1.1373328103290712,4.715361275998278,0.280795097297095,46.83294025002783
569.0709038286091,0.2080698003029649,1.3234542899654358,0.0743652600163145,0.2022990340710319,8.559339501988164,-20.72898787516671,6.833974486062164,0.4065062991629271,94.8107911587824
618.222186756073,0.1717283852100203,1.2545925922809993,0.0084426029129874,0.1031032477867326,8.463888428714133,-5.555116418940388,8.302817012119663,0.4605638619639847,114.04766306620648
736.693631563752,0.2455645438545839,1.310567781769605,0.0650058643286078,0.197343957881045,7.269980267413376,-14.861505921394826,7.658353676784024,0.3876506308000914,128.5567958453957
615.942669536041,0.1710951859822336,1.256450404587441,0.0081358244660212,0.1012638131203557,8.959791529247466,-5.143954387567789,8.022343608385771,0.4553537506750043,123.39852108210644
604.0,0.4646153846153846,1.2895866159381402,0.0517270408443017,0.1911655241851505,6.2293129203625,-5.6383658010097015,8.72131933766,0.1373090603178735,132.7892117
259.824890121684,0.1855892072297743,1.4179511856006244,0.0883003485245877,0.2063364283770153,9.030700605407183,-26.62182878978913,6.141057387154609,0.2095363702210644,70.1246592447216
538.591789345931,0.1795305964486436,1.400438545034447,0.0620853336280867,0.1758908118253275,8.893728339706232,-26.70767061958969,4.803515045961143,0.4760964205359562,268.5343258828304
569.923179853958,0.1899743932846526,1.4239343112365863,0.026670486243604,0.0390513308398933,8.661777725868625,-4.48299592616492,5.242495659812116,0.1119674490218408,102.2960586782396
513.664962014929,0.2334840736431495,1.4815948837644872,0.091453944855709,0.146581580722335,8.67370494637832,18.203628469090336,3.5144767540818105,0.195642501606332,195.9516769135463
343.228139925092,0.1906822999583844,1.2973968272320764,0.061712773160452,0.1321961268908834,2.0361313699190915,-5.723656350215207,10.533402521418914,0.2079008388850853,13.37915645641046
